이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
맑은 문희주,약주,13,제조일로부터 180일,냉장 보관,"소고기 안심, 차돌박이 숙주 볶음, 갈비찜",5,0,5,1,2,0,0,46000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/T20d-1656600970882-0.jpg,,,,,,,
구름을 벗삼아,탁주,6,제조일로부터 45일,냉장 보관,"닭볶음탕, 낙지 볶음, 감자전",4,0,3,1,2,3,0,2000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/bmA6-1657597572597-00.jpg,,,,,,,
오미자 생막걸리,탁주,6.5,제조일로부터 30일,냉장 보관,"수육, 모듬전, 두부부침",3,0,2,1,3,3,0,2300,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/TzbY-1656600825904-0.jpg,,,,,,,
오미로제 스파클링 와인,과실주,8,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"새우 오일 파스타, 연어샐러드, 육전",1,0,3,0,4,3,1,50000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/5YHz-1651137039043-1.jpg,,,,,,,
호산춘,약주,15,제조일로부터 30일,냉장 보관,"닭발, 아귀찜, 약과",5,0,3,1,3,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ZI0y-1663293788514-0.jpg,,,,,,,
문배술,증류식소주,40,유통기한 없음,상온 보관 가능,"동파육, 홍어 무침, 중국식 냉채",0,4,4,0,0,0,0,12800,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/jVOO-1672193897845-40+%281%29.jpg,,,,,,,
오매락,리큐르,25,유통기한 없음,상온 보관 가능,"막국수, 냉채 족발, 갈비 구이",2,2,2,0,0,0,0,16000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/6vkr-1658455656683-0.jpg,,,,,,,
복분자음,2일 이내 배송,,,,,,,,,,,,,,,,,,,,
이담,일반증류주,33,유통기한 없음,상온 보관 가능,"딱새우 회, 전어회, 갈비 구이",0,4,3,0,0,0,0,,,,,,,,,
부자,일반증류주,44,유통기한 없음,상온 보관 가능,"육포, 목살구이, 참치타다끼",0,4,4,0,0,0,0,4900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/BepQ-1658455598218-0.jpg,,,,,,,
매화깊은밤,살균약주,8,제조일로부터 2년,상온 보관 가능,"차돌박이 숙주 볶음, 시저 샐러드, 백순대 볶음",4,0,2,3,3,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Xze2-1647427708401-%EB%A7%A4%ED%99%94%20%EA%B9%8A%EC%9D%80%20%EB%B0%A4.jpg,,,,,,,
보리수헤는밤,살균약주,8,제조일로부터 2년,상온 보관 가능,"돼지고기 김치찜, 로제 떡볶이, 고추장 찜닭",4,0,3,2,3,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/jNsm-1647427891162-%EB%B3%B4%EB%A6%AC%EC%88%98%20%ED%97%A4%EB%8A%94%20%EB%B0%A4.jpg,,,,,,,
라이스퐁당,약주,13,제조일로부터 180일,냉장 보관,"백합조개탕, 초계국수, 물회",3,0,3,4,3,0,0,17000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Iztj-1652435271299-1.jpg,,,,,,,
병영소주,증류식소주,40,유통기한 없음,상온 보관 가능,"삼겹살, 명란젓, 장어구이",0,3,3,0,0,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/w1fG-1659321176011-0.jpg,,,,,,,
복순도가 손막걸리,탁주,6.5,제조일로부터 60일,냉장 보관,"수육, 짜장면, 해물 파전",4,0,2,2,4,5,0,36000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/WqAl-1655692304884-thumb.jpg,,,,,,,
시나브로 청수 화이트,과실주,11,유통기한 없음,상온 보관 가능,"새우튀김, 굴, 크림소스 연어 스테이크",3,0,3,0,3,0,0,60000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/q2Bp-1662106155581-SINABRO.jpg,,,,,,,
시나브로 로제와인,과실주,5,유통기한 없음,상온 보관 가능,"프로슈토, 올리브, 크림치즈",5,0,2,0,3,4,2,38000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/NXUm-1662098049031-1.jpg,,,,,,,
왕율주,일반증류주,33,유통기한 없음,상온 보관 가능,"딱새우 회, 전어회, 갈비 구이",0,4,3,0,0,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/pfcY-1654681157885-thumb.jpg,,,,,,,
"산막와이너리, 라라",과실주,12,유통기한 없음,상온 보관 가능,"오징어 초무침, 뿌팟퐁커리, 생선까스",1,0,3,0,4,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Wstx-1653639444866-1.jpg,,,,,,,
"산막와이너리, 미",과실주,13,유통기한 없음,상온 보관 가능,"크림 새우, 맥앤치즈, 치즈 케이크",1,0,3,0,4,0,2,,,,,,,,,
"산막와이너리, 비원",과실주,13,유통기한 없음,상온 보관 가능,"크림 새우, 맥앤치즈, 치즈 케이크",1,0,3,0,4,0,2,18000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/A9KR-1668152986297-%EC%8A%A4%ED%81%AC%EB%A6%B0%EC%83%B7%202022-11-11%20%EC%98%A4%ED%9B%84%204.49.37.png,,,,,,,
찹쌀생막걸리 9도,탁주,9,제조일로부터 30일,냉장 보관,"모듬전, 도토리묵 무침, 두부김치",2,0,3,2,3,0,0,,,,,,,,,
삼양춘 청주,청주,15,제조일로부터 90일,냉장 보관,"과일치즈, 조개찜, 연어초밥",3,0,3,3,3,0,0,17500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/gXOc-1662364336049-0.jpg,,,,,,,
