survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
0,25,1,3,1,4,0,20,33000,세종대왕어주 약주
0,20,3,3,1,3,0,20,12000,술샘16
0,25,1,4,2,4,0,10,21000,술아 국화주
1,20,2,3,2,3,0,10,22000,추사 블루 스위트
0,25,3,4,0,3,0,10,12000,꿀샘 16
1,30,3,5,0,4,0,10,28000,아이엠더문
0,20,2,3,1,2,0,10,35000,허니문
1,20,0,3,1,1,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,2,1,3,0,10,16000,우렁이쌀 청주
0,35,2,4,3,2,0,10,25000,고도리 청수 와인
0,35,0,4,4,4,0,10,33000,별산막걸리
0,25,1,2,2,5,0,30,33000,세종대왕어주 약주
0,30,0,5,2,1,1,10,6000,우주멜론미 스파클링 막걸리
0,25,0,3,2,2,0,5,3800,대대포 막걸리
0,30,1,3,3,3,0,20,17500,삼양춘 청주
1,35,1,5,5,5,0,40,30000,경성과하주
0,25,3,2,2,4,0,40,22000,담솔
0,25,2,3,1,3,0,10,22000,추사 블루 스위트
1,30,1,3,5,5,0,20,34200,별바랑
1,25,1,3,2,2,0,20,10000,우포
1,25,0,2,2,2,0,10,13200,민주 포도 막걸리
1,30,2,3,5,2,0,20,22000,샤토미소 랑 화이트와인
